song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
73,262333,0.00552,0.4960000000,0.6820000000,0.0000294000,8,0.0589000000,-4.0950000000,1,0.0294000000,167.0600000000,4,0.4740000000
66,216933,0.0103,0.5420000000,0.8530000000,0.0000000000,3,0.1080000000,-6.4070000000,0,0.0498000000,105.2560000000,4,0.3700000000
76,231733,0.00817,0.7370000000,0.4630000000,0.4470000000,0,0.2550000000,-7.8280000000,1,0.0792000000,123.8810000000,4,0.3240000000
74,216933,0.0264,0.4510000000,0.9700000000,0.0035500000,0,0.1020000000,-4.9380000000,1,0.1070000000,122.4440000000,4,0.1980000000
56,223826,0.0009539999999999,0.4470000000,0.7660000000,0.0000000000,10,0.1130000000,-5.0650000000,1,0.0313000000,172.0110000000,4,0.5740000000
80,235893,0.00895,0.3160000000,0.9450000000,0.0000018500,4,0.3960000000,-3.1690000000,0,0.1240000000,189.9310000000,4,0.3200000000
81,199893,0.000504,0.5810000000,0.8870000000,0.0011100000,4,0.2680000000,-3.6590000000,0,0.0624000000,90.5780000000,4,0.7240000000
76,213800,0.00148,0.6130000000,0.9530000000,0.0005820000,2,0.1520000000,-3.4350000000,1,0.0855000000,105.0460000000,4,0.5370000000
80,222586,0.00108,0.3300000000,0.9360000000,0.0000000000,1,0.0926000000,-3.6600000000,1,0.0917000000,148.1120000000,4,0.2340000000
81,203346,0.00172,0.5420000000,0.9050000000,0.0104000000,9,0.1360000000,-5.6530000000,1,0.0540000000,153.3980000000,4,0.3740000000
78,168253,0.0424,0.6290000000,0.8970000000,0.0000000000,2,0.2630000000,-3.4010000000,1,0.0483000000,161.9440000000,4,0.9300000000
63,185586,0.0046,0.4960000000,0.8630000000,0.0000000000,9,0.6390000000,-4.1530000000,1,0.0381000000,110.0180000000,4,0.2430000000
75,209266,0.00434,0.6470000000,0.9640000000,0.0036000000,9,0.1500000000,-4.2250000000,0,0.0600000000,126.9420000000,4,0.8750000000
81,269000,0.0179,0.6180000000,0.9380000000,0.0000000000,9,0.1670000000,-3.4420000000,1,0.0456000000,91.4550000000,4,0.8750000000
69,210240,0.0003529999999999,0.4200000000,0.9290000000,0.0007470000,7,0.1220000000,-3.8990000000,0,0.1210000000,127.2040000000,4,0.3000000000
77,237026,0.000423,0.2780000000,0.6760000000,0.0008990000,9,0.1360000000,-8.8210000000,1,0.0371000000,104.5450000000,4,0.4940000000
71,227240,0.0013599999999999,0.6590000000,0.7780000000,0.0000067900,11,0.0841000000,-6.4230000000,1,0.0379000000,110.0220000000,4,0.6230000000
62,256600,0.00701,0.3700000000,0.9440000000,0.0000029000,1,0.1350000000,-4.9790000000,0,0.0767000000,130.3150000000,4,0.3450000000
